2024/03/31 23:10;Ligado
2024/06/02 20:24;Desligado
2024/06/02 20:24;Ligado
2024/06/02 20:25;Desligado
2024/06/02 20:56;Ligado
2024/06/02 20:56;Ligado
2024/06/02 20:56;Desligado
2024/06/02 21:02;Ligado
2024/06/02 21:03;Desligado
2024/06/02 21:03;Ligado
2024/06/02 21:03;Desligado
2024/06/02 21:10;Ligado
2024/06/02 21:15;Desligado
2024/06/02 21:15;Ligado
2024/06/02 21:15;Desligado
2024/06/02 21:16;Ligado
2024/06/02 21:16;Desligado
2024/06/02 21:16;Desligado
2024/06/02 21:20;Ligado
2024/06/02 21:20;Desligado
2024/06/02 21:22;Ligado
2024/06/02 21:22;Desligado
2024/06/02 21:25;Ligado
2024/06/02 21:25;Desligado
2024/06/02 22:22;Ligado
2024/06/02 22:22;Desligado
2024/06/02 22:23;Ligado
2024/06/02 22:23;Desligado
2024/06/05 16:55;Ligado
2024/06/05 16:55;Ligado
2024/06/05 16:55;Desligado
2024/06/05 22:43;Ligado
2024/06/05 22:43;Desligado
2024/06/06 13:33;Ligado
2024/06/06 13:33;Desligado
2024/06/06 13:33;Ligado
2024/06/06 13:33;Desligado
2024/06/06 13:46;Ligado
2024/06/06 13:46;Desligado
2024/06/12 22:33;Ligado
2024/06/12 22:33;Desligado
2024/06/13 15:36;Ligado
2024/06/13 15:36;Desligado
2024/06/13 15:36;Ligado
2024/06/13 15:37;Desligado
2024/06/13 16:03;Ligado
2024/06/13 16:05;Desligado
2024/06/15 18:52;Ligado
2024/06/15 18:52;Desligado
2024/06/15 18:52;Ligado
